@relation dataCircleGSev1Sp1Train

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
0.661908,0.491944,1
0.99633,0.324328,0
0.487991,0.666657,1
0.007978,0.0901,0
0.425671,0.456396,1
0.357584,0.913823,0
0.548511,0.619551,1
0.745223,0.963377,0
0.489742,0.499155,1
0.014604,0.448229,0
0.454934,0.668749,1
0.925043,0.204015,0
0.393312,0.592933,1
0.325242,0.33661,0
0.45882,0.393297,1
0.089585,0.652853,0
0.497568,0.418527,1
0.191102,0.847448,0
0.459876,0.540932,1
0.190167,0.130542,0
0.565365,0.68757,1
0.736808,0.526492,0
0.597847,0.607055,1
0.673155,0.709242,0
0.389777,0.376731,1
0.059019,0.924457,0
0.438424,0.398273,1
0.183304,0.782811,0
0.58396,0.410163,1
0.784829,0.619248,0
0.583114,0.596932,1
0.339084,0.981157,0
0.421492,0.613192,1
0.534256,0.23778,0
0.446675,0.661163,1
0.150121,0.076614,0
0.56362,0.557434,1
0.752779,0.951188,0
0.54539,0.563953,1
0.647896,0.182437,0
0.389836,0.577314,1
0.035327,0.741931,0
0.55703,0.610935,1
0.699479,0.136001,0
0.608736,0.425338,1
0.393537,0.169754,0
0.396991,0.434195,1
0.549823,0.877969,0
0.46632,0.441031,1
0.757673,0.202228,0
0.636423,0.563585,1
0.201742,0.677607,0
0.515314,0.683328,1
0.484501,0.015958,0
0.379935,0.562667,1
0.537698,0.083766,0
0.645035,0.505651,1
0.952439,0.634922,0
0.353386,0.365756,1
0.887831,0.770633,0
0.603021,0.365934,1
0.207063,0.115649,0
0.582379,0.643362,1
0.206394,0.861846,0
0.535039,0.594834,1
0.189458,0.221868,0
0.671925,0.435622,1
0.468258,0.015058,0
0.332659,0.397139,1
0.597956,0.842496,0
0.629796,0.387767,1
0.76458,0.302526,0
0.521552,0.331153,1
0.959711,0.859299,0
0.397899,0.483475,1
0.163479,0.58623,0
0.6075,0.450278,1
0.615034,0.869219,0
0.587553,0.402517,1
0.506462,0.104941,0
0.599864,0.518409,1
0.00405,0.068203,0
0.415776,0.545069,1
0.205876,0.166272,0
0.516664,0.568062,1
0.313372,0.837519,0
0.370775,0.613413,1
0.818623,0.59509,0
0.568468,0.437543,1
0.194492,0.826641,0
0.443181,0.342062,1
0.021231,0.835151,0
0.455205,0.429895,1
0.851612,0.046346,0
0.45543,0.618906,1
0.252579,0.090103,0
0.442144,0.517133,1
0.367515,0.829344,0
0.381164,0.426958,1
0.702458,0.204291,0
0.505241,0.584748,1
0.409102,0.770098,0
0.317791,0.512138,1
0.520336,0.293445,0
0.303536,0.529773,1
0.482535,0.961224,0
0.419725,0.513413,1
0.094354,0.808453,0
0.565027,0.608331,1
0.299977,0.709706,0
0.311556,0.517051,1
0.930706,0.377361,0
0.420976,0.350932,1
0.027548,0.999608,0
0.462601,0.338619,1
0.673,0.106058,0
0.507985,0.30655,1
0.228089,0.484251,0
0.619353,0.462628,1
0.237773,0.250191,0
0.32776,0.467488,1
0.049877,0.286473,0
0.602451,0.387789,1
0.669739,0.305414,0
0.334968,0.403556,1
0.154554,0.583994,0
0.375934,0.523007,1
0.189296,0.49311,0
0.580609,0.490483,1
0.62253,0.855044,0
0.588174,0.438032,1
0.751734,0.399396,0
0.562388,0.658109,1
0.846838,0.802989,0
0.637316,0.371528,1
0.435772,0.015975,0
0.495552,0.544103,1
0.69731,0.684436,0
0.425742,0.438341,1
0.727299,0.712955,0
0.552877,0.399937,1
0.099993,0.587819,0
0.490722,0.571997,1
0.704711,0.076585,0
0.362723,0.487643,1
0.292437,0.996272,0
0.436619,0.456807,1
0.736339,0.646073,0
0.522603,0.394035,1
0.10342,0.181288,0
0.662389,0.574198,1
0.102416,0.297642,0
0.484392,0.581138,1
0.72177,0.790019,0
0.637751,0.473725,1
0.481959,0.277525,0
0.44316,0.389236,1
0.489073,0.848559,0
0.595607,0.566971,1
0.445095,0.718725,0
0.547585,0.661045,1
0.223468,0.828205,0
0.556944,0.354976,1
0.973431,0.457149,0
0.423934,0.457521,1
0.967823,0.203566,0
0.434297,0.622315,1
0.864085,0.683833,0
0.375639,0.369588,1
0.920184,0.525881,0
0.491013,0.647184,1
0.78639,0.864477,0
0.404762,0.632628,1
0.202881,0.814715,0
0.665973,0.403913,1
0.172879,0.575636,0
0.584481,0.373208,1
0.019088,0.815163,0
0.480126,0.482852,1
0.988249,0.506088,0
0.625404,0.571472,1
0.562038,0.1706,0
0.408984,0.401828,1
0.57477,0.152739,0
0.335494,0.442097,1
0.554112,0.957859,0
0.595579,0.494806,1
0.258199,0.546005,0
0.585126,0.413612,1
0.70419,0.323965,0
0.648575,0.402812,1
0.917401,0.756312,0
0.434207,0.31819,1
0.29763,0.261494,0
0.402722,0.356105,1
0.694756,0.771811,0
0.634347,0.461848,1
0.444652,0.26331,0
0.483561,0.604592,1
0.190498,0.692312,0
0.573418,0.436778,1
0.086413,0.342357,0
0.69511,0.519113,1
0.87217,0.560216,0
0.522602,0.367237,1
0.139954,0.19973,0
0.644337,0.379177,1
0.811781,0.595727,0
0.451602,0.670245,1
0.750581,0.012235,0
0.556093,0.44838,1
0.124245,0.184363,0
0.53704,0.624236,1
0.569464,0.987486,0
0.568271,0.331465,1
0.082568,0.714031,0
0.585253,0.543496,1
0.096042,0.182947,0
0.612777,0.344336,1
0.894615,0.796177,0
0.435985,0.600667,1
0.282847,0.817425,0
0.484793,0.510307,1
0.565064,0.030973,0
0.523459,0.380376,1
0.194236,0.526881,0
0.414549,0.329909,1
0.818972,0.465563,0
0.587656,0.533751,1
0.613296,0.670984,0
0.394026,0.601714,1
0.280559,0.35255,0
0.421244,0.442382,1
0.528339,0.800651,0
0.51913,0.423642,1
0.139931,0.8167,0
0.407982,0.347147,1
0.015674,0.434361,0
0.418986,0.50602,1
0.835211,0.395775,0
0.615211,0.44837,1
0.130584,0.718483,0
0.514175,0.335433,1
0.812533,0.242122,0
0.437892,0.659035,1
0.739252,0.608153,0
0.388257,0.441981,1
0.674738,0.329228,0
0.433604,0.574527,1
0.925732,0.784412,0
0.542281,0.315882,1
0.322082,0.233912,0
0.440288,0.524646,1
0.079471,0.670287,0
0.507506,0.648336,1
0.200679,0.804206,0
0.419381,0.341682,1
0.128693,0.937788,0
0.463347,0.477856,1
0.048829,0.665818,0
0.45905,0.653453,1
0.20617,0.107044,0
0.389742,0.591585,1
0.673348,0.955659,0
0.470796,0.475349,1
0.711346,0.587711,0
0.564874,0.431374,1
0.9966,0.854661,0
0.417218,0.379857,1
0.392092,0.895855,0
0.551112,0.340568,1
0.02859,0.507415,0
0.348655,0.443699,1
0.860316,0.333632,0
0.440254,0.356039,1
0.978003,0.291974,0
0.59688,0.355768,1
0.233497,0.383084,0
0.49768,0.316017,1
0.006789,0.100943,0
0.517325,0.484356,1
0.160667,0.332154,0
0.506754,0.417812,1
0.182947,0.793252,0
0.373178,0.597722,1
0.545617,0.188621,0
0.359077,0.404927,1
0.776941,0.045288,0
0.362801,0.590226,1
0.58763,0.303573,0
0.363056,0.47852,1
0.94366,0.097233,0
0.37946,0.591594,1
0.054195,0.847505,0
0.678519,0.472119,1
0.99646,0.502563,0
0.533554,0.441655,1
0.974695,0.694159,0
0.591487,0.519074,1
0.942177,0.166663,0
0.339643,0.584223,1
0.322258,0.188953,0
0.592432,0.396458,1
0.903032,0.259953,0
0.51846,0.357856,1
0.968638,0.901113,0
0.57733,0.585856,1
0.958867,0.673332,0
0.576595,0.632061,1
0.355456,0.150438,0
0.465216,0.685188,1
0.643735,0.262531,0
0.443021,0.449036,1
0.125538,0.912822,0
0.61814,0.478029,1
0.351825,0.127454,0
0.350044,0.582113,1
0.700115,0.835705,0
0.574333,0.618202,1
0.041644,0.906873,0
0.626564,0.458671,1
0.957174,0.227282,0
0.36325,0.550001,1
0.431488,0.015428,0
0.420345,0.545863,1
0.781721,0.387813,0
0.338502,0.611412,1
0.741034,0.552358,0
0.491829,0.375049,1
0.350386,0.942205,0
0.552883,0.497159,1
0.137542,0.666705,0
0.426121,0.419727,1
0.979384,0.509626,0
0.414915,0.482424,1
0.013012,0.696556,0
0.309177,0.544893,1
0.81121,0.002523,0
0.463615,0.571804,1
0.541753,0.244446,0
0.461013,0.443716,1
0.568274,0.978872,0
0.658748,0.585492,1
0.666697,0.174483,0
0.515959,0.314613,1
0.000027,0.446455,0
0.52925,0.502242,1
0.696776,0.707058,0
0.510714,0.564053,1
0.837774,0.463471,0
0.5225,0.650404,1
0.106945,0.418169,0
0.366418,0.587588,1
0.747529,0.716615,0
0.306176,0.494965,1
0.949377,0.172592,0
0.599937,0.536108,1
0.652117,0.137193,0
0.622882,0.573325,1
0.41746,0.251775,0
0.53487,0.552409,1
0.613184,0.791106,0
0.474468,0.591063,1
0.744472,0.333229,0
0.532431,0.365025,1
0.183607,0.877097,0
0.446477,0.540998,1
0.11815,0.740054,0
0.335454,0.577842,1
0.208535,0.842569,0
0.324282,0.408298,1
0.802866,0.776158,0
0.503412,0.650026,1
0.234129,0.99928,0
0.659998,0.385366,1
0.857988,0.211639,0
0.455534,0.352519,1
0.715978,0.440073,0
0.424834,0.380586,1
0.040851,0.581086,0
0.427348,0.635157,1
0.467851,0.173019,0
0.421709,0.670968,1
0.127451,0.074707,0
0.540771,0.540736,1
0.128855,0.664824,0
0.579338,0.329726,1
0.018096,0.147556,0
0.374338,0.502115,1
0.346286,0.029732,0
0.581548,0.682437,1
0.048684,0.234697,0
0.520567,0.576475,1
0.798391,0.554552,0
0.441708,0.394249,1
0.119624,0.527825,0
0.464066,0.552043,1
0.223154,0.543754,0
0.443682,0.363204,1
0.658675,0.351444,0
0.584743,0.382847,1
0.042862,0.382322,0
0.575096,0.645389,1
0.394764,0.799773,0
0.616742,0.590879,1
0.020174,0.060919,0
0.645398,0.598264,1
0.296505,0.356477,0
0.422345,0.555705,1
0.096038,0.108862,0
0.558096,0.520344,1
0.312466,0.621507,0
0.568922,0.470932,1
0.149438,0.597647,0
0.563611,0.418041,1
0.769686,0.113006,0
0.41962,0.353241,1
0.052206,0.426811,0
0.466137,0.564889,1
0.96475,0.544927,0
0.535911,0.453348,1
0.307113,0.649778,0
0.54656,0.628429,1
0.764899,0.657304,0
0.485262,0.397587,1
0.366166,0.149214,0
0.637629,0.438643,1
0.74934,0.159532,0
0.401159,0.484323,1
0.794793,0.094292,0
0.605938,0.602483,1
0.862433,0.916188,0
0.451311,0.586014,1
0.598124,0.678232,0
0.317123,0.480566,1
0.92553,0.388425,0
0.401929,0.620288,1
0.691438,0.005323,0
0.48257,0.359971,1
0.816986,0.091052,0
0.426452,0.373353,1
0.126176,0.645083,0
0.662617,0.398149,1
0.984481,0.176281,0
0.60501,0.60091,1
0.380572,0.276856,0
0.346231,0.512468,1
0.378715,0.069506,0
0.46255,0.682192,1
0.74876,0.40246,0
0.357889,0.440188,1
0.098924,0.60953,0
0.447015,0.38134,1
0.706607,0.944198,0
0.629803,0.494206,1
0.049377,0.883481,0
0.563347,0.365582,1
0.721941,0.656865,0
0.610873,0.345277,1
0.421607,0.948278,0
0.58322,0.379118,1
0.354958,0.779424,0
0.611473,0.424319,1
0.590481,0.2203,0
0.532995,0.649796,1
0.686088,0.074509,0
0.410003,0.328776,1
0.106838,0.621595,0
0.35625,0.497936,1
0.775145,0.866198,0
0.37439,0.566387,1
0.904223,0.280268,0
0.482537,0.594678,1
0.643968,0.171208,0
0.494343,0.622009,1
0.009023,0.657599,0
0.407209,0.562193,1
0.684183,0.055643,0
0.375989,0.638733,1
0.702319,0.872721,0
0.631024,0.62765,1
0.031,0.016867,0
0.490144,0.449856,1
0.574805,0.742589,0
0.578885,0.324624,1
0.638605,0.026241,0
0.402126,0.33129,1
0.712304,0.685105,0
0.523162,0.575682,1
0.831872,0.271942,0
0.509887,0.67313,1
0.996545,0.926931,0
0.67407,0.500142,1
0.464104,0.200299,0
0.469917,0.491863,1
0.024309,0.558084,0
0.387767,0.605303,1
0.07264,0.856582,0
0.526404,0.668819,1
0.855197,0.294207,0
0.59222,0.444954,1
0.623131,0.956899,0
0.537732,0.656913,1
0.764677,0.921637,0
0.566025,0.578976,1
0.858687,0.958816,0
0.626406,0.611639,1
0.311948,0.902705,0
0.604687,0.37434,1
0.775643,0.228345,0
0.615207,0.386923,1
0.306878,0.697218,0
0.535227,0.567093,1
0.58709,0.229376,0
0.451446,0.446482,1
0.825733,0.102019,0
0.550506,0.549999,1
0.347284,0.800366,0
0.50857,0.533365,1
0.231691,0.026946,0
0.650132,0.570738,1
0.740097,0.817192,0
0.518921,0.503191,1
0.1814,0.786571,0
0.660243,0.502114,1
0.337841,0.100458,0
0.462291,0.32904,1
0.192835,0.977735,0
0.616111,0.378463,1
0.837569,0.020917,0
0.522212,0.614143,1
0.508016,0.224517,0
0.485837,0.456726,1
0.239979,0.323765,0
0.507067,0.468392,1
0.413523,0.08448,0
0.641363,0.386813,1
0.6446,0.795293,0
0.492697,0.551423,1
0.179556,0.797671,0
0.480626,0.480715,1
0.207984,0.585563,0
0.523801,0.524987,1
0.403159,0.894005,0
0.513662,0.518093,1
0.741547,0.184718,0
0.522116,0.607327,1
0.107496,0.680794,0
0.323365,0.59344,1
0.62444,0.954756,0
0.536329,0.689267,1
0.012116,0.633832,0
0.626972,0.516749,1
0.263508,0.784193,0
0.434526,0.470271,1
0.669487,0.074525,0
0.51935,0.522137,1
0.645137,0.812053,0
0.366984,0.508104,1
0.996545,0.931893,0
0.432053,0.521652,1
0.248288,0.974727,0
0.397966,0.422378,1
0.005419,0.069261,0
0.325078,0.577987,1
0.635624,0.939552,0
0.677595,0.543262,1
0.269097,0.705398,0
0.550915,0.632878,1
0.695976,0.262639,0
0.371581,0.554349,1
0.129751,0.723424,0
0.533378,0.676268,1
0.857178,0.597552,0
0.54184,0.512124,1
0.926972,0.624499,0
0.599165,0.36154,1
0.763007,0.856935,0
0.500339,0.594715,1
0.193887,0.651696,0
0.655891,0.566512,1
0.185802,0.767369,0
0.467013,0.485738,1
0.262842,0.586013,0
0.34509,0.520107,1
0.344004,0.677674,0
0.564886,0.6348,1
0.453611,0.844103,0
0.531592,0.660824,1
0.935947,0.461167,0
0.631573,0.644195,1
0.223863,0.466571,0
0.560781,0.439901,1
0.308579,0.291759,0
0.53459,0.648999,1
0.083371,0.220513,0
0.36225,0.533281,1
0.899611,0.767186,0
0.516634,0.474917,1
0.834878,0.797831,0
0.359566,0.627574,1
0.826673,0.89488,0
0.402044,0.550831,1
0.283093,0.939808,0
0.444452,0.506851,1
0.930863,0.011638,0
0.542621,0.429091,1
0.075452,0.124048,0
0.59922,0.493319,1
0.801808,0.980638,0
0.533905,0.344039,1
0.425064,0.058311,0
0.310339,0.468551,1
0.095427,0.838787,0
0.499251,0.309145,1
0.263351,0.141886,0
0.567855,0.54006,1
0.713374,0.682052,0
0.401304,0.511574,1
0.829604,0.147224,0
0.457093,0.554853,1
0.270504,0.35905,0
0.518988,0.42347,1
0.906988,0.749805,0
0.686284,0.569419,1
0.321271,0.609377,0
0.467698,0.400281,1
0.170555,0.512607,0
0.452903,0.543857,1
0.270081,0.250421,0
0.564545,0.51208,1
0.088441,0.424997,0
0.584957,0.367002,1
0.261894,0.648887,0
0.639132,0.490114,1
0.110314,0.039744,0
0.345063,0.475572,1
0.109626,0.477527,0
0.620853,0.468822,1
0.726336,0.537164,0
0.432212,0.385194,1
0.32611,0.925181,0
0.506883,0.584305,1
0.777694,0.700872,0
0.519237,0.611276,1
0.031556,0.368227,0
0.618454,0.564272,1
0.060884,0.274513,0
0.59515,0.484951,1
0.182149,0.374644,0
0.558695,0.58256,1
0.668581,0.840631,0
0.491959,0.556392,1
0.9604,0.441473,0
0.446344,0.310388,1
0.497964,0.27983,0
0.3878,0.356871,1
0.583995,0.202694,0
0.569641,0.559536,1
0.055277,0.038093,0
0.39046,0.666734,1
0.229774,0.804429,0
0.5789,0.573722,1
0.100407,0.541728,0
0.630776,0.455074,1
0.837771,0.418336,0
0.471367,0.465068,1
0.734707,0.214242,0
0.607641,0.415727,1
0.572015,0.859342,0
0.431208,0.316679,1
0.799228,0.623476,0
0.603964,0.614626,1
0.814924,0.429581,0
0.568005,0.662971,1
0.148377,0.766815,0
0.641291,0.371334,1
0.256825,0.450476,0
0.358768,0.415957,1
0.210036,0.066801,0
0.588454,0.344829,1
0.881218,0.633325,0
0.418895,0.566294,1
0.01829,0.400774,0
0.62519,0.576197,1
0.120783,0.99393,0
0.346476,0.624117,1
0.583511,0.077255,0
0.472985,0.452187,1
0.525862,0.166237,0
0.680974,0.53388,1
0.05548,0.445037,0
0.493065,0.34792,1
0.46994,0.274669,0
0.443132,0.320935,1
0.619807,0.092807,0
0.622853,0.493446,1
0.121453,0.267541,0
0.526841,0.409587,1
0.627846,0.200351,0
0.418738,0.331081,1
0.928214,0.486289,0
0.427571,0.380322,1
0.938403,0.732515,0
0.454532,0.321599,1
0.528694,0.76609,0
0.570127,0.325842,1
0.819436,0.258702,0
0.426704,0.611483,1
0.720689,0.61906,0
0.515136,0.486339,1
0.493014,0.083623,0
0.483397,0.647162,1
0.865172,0.946048,0
0.390498,0.500197,1
0.769667,0.78577,0
0.476421,0.605348,1
0.97289,0.36308,0
0.417538,0.553092,1
0.273208,0.803606,0
0.384165,0.457803,1
0.282246,0.706836,0
0.616766,0.58921,1
0.888337,0.282115,0
0.502512,0.319579,1
0.663373,0.313444,0
0.320975,0.425577,1
0.420117,0.913202,0
0.373769,0.5326,1
0.26781,0.07995,0
0.589962,0.489984,1
0.665331,0.210491,0
0.591843,0.500417,1
0.038639,0.408251,0
0.48192,0.223707,1
0.064105,0.420388,0
0.473592,0.660439,1
0.668347,0.902284,0
0.615102,0.625263,1
0.334264,0.976098,0
0.371979,0.450805,1
0.457362,0.885108,0
0.208941,0.467299,1
0.831329,0.142145,0
0.577447,0.759573,1
0.969883,0.815676,0
0.24336,0.552554,1
0.971675,0.942134,0
0.471001,0.320838,1
0.875137,0.422156,0
0.303467,0.366016,1
0.38614,0.859093,0
0.666923,0.376789,1
0.142514,0.224647,0
0.586109,0.538602,1
0.80652,0.189694,0
0.30722,0.446076,1
0.011034,0.452574,0
0.444298,0.318083,1
0.881822,0.780706,0
0.395867,0.541458,1
0.809287,0.688415,0
0.327406,0.714577,1
0.165808,0.732344,0
0.501712,0.473104,1
0.104233,0.839335,0
0.625562,0.627576,1
0.124439,0.452201,0
0.286241,0.660817,1
0.262848,0.685329,0
0.396353,0.309084,1
0.254289,0.833179,0
0.348121,0.269296,1
0.090117,0.58886,0
0.593618,0.733589,1
0.724385,0.746172,0
0.727967,0.348062,1
0.825592,0.730339,0
0.685735,0.352986,1
0.008255,0.738525,0
0.436531,0.583086,1
0.866265,0.316407,0
0.711529,0.668813,1
0.246672,0.823346,0
0.627228,0.427652,1
0.912219,0.665594,0
0.583379,0.24299,1
0.216554,0.629287,0
0.453121,0.401515,1
0.76515,0.875498,0
0.4992,0.250535,1
0.333728,0.974858,0
0.464207,0.734996,1
0.143585,0.228317,0
0.397899,0.481424,1
0.148895,0.483895,0
0.6953,0.311986,1
0.901612,0.394411,0
0.70488,0.510374,1
0.08087,0.1775,0
0.341235,0.329682,1
0.139876,0.890065,0
0.396425,0.321996,1
0.131025,0.133302,0
0.445394,0.742946,1
0.827269,0.914355,0
0.537348,0.603595,1
0.354984,0.212488,0
0.522129,0.417569,1
0.470104,0.041282,0
0.700641,0.666876,1
0.982792,0.778465,0
0.596324,0.625041,1
0.120002,0.867708,0
0.542674,0.724915,1
0.746581,0.787817,0
0.700607,0.700926,1
0.785489,0.713823,0
0.337605,0.521249,1
0.720947,0.956473,0
0.46263,0.628061,1
0.734351,0.229433,0
0.25135,0.446387,1
0.70264,0.269347,0
0.48654,0.481292,1
0.081466,0.194861,0
0.77025,0.587953,1
0.221731,0.637976,0
0.482518,0.686181,1
0.10173,0.771458,0
0.73609,0.672471,1
0.702432,0.767094,0
0.529509,0.252417,1
0.112676,0.739416,0
0.422878,0.312961,1
0.187112,0.78664,0
0.234966,0.466022,1
0.721495,0.169322,0
0.681631,0.37789,1
0.985421,0.967789,0
0.5812,0.22078,1
0.081369,0.571257,0
0.271137,0.594425,1
0.49961,0.947415,0
0.326201,0.259893,1
0.625522,0.15382,0
0.349735,0.392206,1
0.013684,0.994883,0
0.614364,0.224059,1
0.926481,0.369503,0
0.341561,0.413115,1
0.823826,0.04514,0
0.597314,0.454904,1
0.94537,0.826473,0
0.51881,0.434862,1
0.883363,0.674546,0
0.258172,0.494349,1
0.199461,0.338548,0
0.624379,0.531047,1
0.176894,0.054083,0
0.586564,0.383756,1
0.322489,0.080232,0
0.470529,0.777767,1
0.207275,0.663162,0
0.655966,0.42322,1
0.762242,0.996919,0
0.326716,0.510526,1
0.349865,0.174034,0
0.454816,0.690947,1
0.872696,0.40824,0
0.372507,0.325428,1
0.460098,0.872314,0
0.517273,0.412629,1
0.085581,0.364297,0
0.641515,0.544778,1
0.794067,0.887833,0
0.680759,0.722362,1
0.231684,0.914168,0
0.449482,0.442492,1
0.14278,0.701628,0
0.354062,0.512981,1
0.110686,0.294648,0
0.292237,0.630978,1
0.425942,0.809976,0
0.556181,0.33396,1
0.442784,0.867494,0
0.779384,0.512279,1
0.464331,0.010442,0
0.495407,0.70465,1
0.083513,0.600598,0
0.346349,0.484005,1
