@relation weka.datagenerators.classifiers.classification.RandomRBF-S_4343_-n_2000_-a_2_-c_2_-C_5

@attribute a0 numeric
@attribute a1 numeric
@attribute class {c0,c1}

@data
1.010032,0.489559,c1
0.54204,-0.074884,c0
0.232359,-0.103853,c0
0.511722,0.625449,c1
-0.086273,0.55114,c0
0.404222,0.599883,c1
0.988808,-0.689022,c1
0.399875,0.404688,c1
0.600182,-0.157494,c1
1.25428,0.516971,c1
0.799933,-0.827458,c1
0.989507,0.185727,c0
0.073848,-0.106322,c0
0.461865,0.308985,c0
0.198304,0.15237,c1
1.281855,0.088044,c0
0.006199,1.848012,c1
0.946903,0.272006,c1
-0.0075,0.460867,c1
0.037654,0.167723,c1
0.54681,0.984918,c1
-0.006521,0.138762,c0
0.769464,0.378549,c0
-0.983823,-0.303726,c1
1.035568,0.459715,c0
0.496402,0.609798,c1
0.09341,0.531766,c1
0.439664,0.938323,c1
1.009726,0.381615,c0
0.38128,1.191571,c1
0.151914,0.705852,c1
-0.050463,-0.301648,c0
0.37548,0.343128,c1
-0.33239,0.242044,c0
1.245301,0.138614,c0
1.080464,-0.511642,c1
0.423924,-1.108475,c1
-0.509696,1.445763,c1
0.582332,0.364007,c1
0.193077,0.159978,c1
1.004927,-0.088411,c1
0.527967,0.747052,c1
0.227814,0.195763,c1
-0.169861,-0.208743,c1
-0.4317,0.723166,c1
0.117642,1.19423,c1
-1.106054,-0.212706,c1
-0.409857,0.528411,c1
0.011971,0.320341,c1
0.011018,0.291501,c0
-0.826774,0.042619,c1
-0.527262,1.397899,c1
1.201487,0.461529,c0
0.948627,0.526778,c0
-0.098397,0.016415,c1
0.018,-0.12085,c0
0.976646,0.686957,c0
-0.066602,0.111915,c0
-0.082881,-1.123918,c1
1.168533,0.568729,c0
-1.53781,0.579513,c1
-0.0004,0.42366,c1
0.210335,0.136768,c1
-0.244437,0.228292,c0
1.138177,0.981499,c1
0.217382,0.180394,c1
0.776447,0.087275,c0
-0.080736,0.353387,c1
0.757647,0.404911,c0
0.977301,0.52448,c0
1.155105,0.660893,c0
0.97188,0.500985,c0
0.976355,0.50011,c0
0.010213,0.369633,c0
0.842075,0.123019,c1
0.104706,1.512596,c1
0.052246,0.110304,c0
0.158752,-0.163084,c1
0.852738,0.105725,c1
0.30885,0.652158,c1
0.414385,0.918245,c1
0.153393,-0.063487,c1
0.027905,0.223083,c0
0.144958,-0.080542,c0
0.775006,1.411482,c1
0.661638,0.945096,c1
0.26191,0.96153,c1
0.077506,0.070199,c0
0.291721,0.931245,c1
1.389348,-0.267972,c1
0.499288,0.856523,c1
0.339676,0.685974,c1
0.131547,0.090573,c1
0.469342,0.141185,c1
0.752303,0.100034,c1
1.289559,-0.414147,c1
0.239184,-0.143396,c1
-0.410052,0.070103,c1
0.947584,0.55991,c0
-0.038734,0.795195,c1
0.718635,0.781326,c0
-0.597316,1.508133,c1
0.329652,0.658955,c1
-0.196431,0.584981,c1
1.052758,0.761666,c0
1.01794,0.493505,c0
0.074655,0.778607,c1
1.099439,0.467042,c1
0.264068,0.095817,c1
0.096054,-0.255207,c1
0.551065,0.664725,c1
0.427583,0.162514,c0
0.115377,0.373265,c0
-0.044408,0.187447,c0
0.05908,0.273434,c0
1.068809,0.411097,c0
0.158654,0.366189,c0
0.021254,0.297552,c1
0.310403,-0.160785,c0
2.247653,2.016514,c1
-0.129773,0.271679,c0
-0.297871,-0.146679,c1
1.094447,0.765808,c0
0.735232,0.717921,c1
0.606926,0.734824,c1
0.646046,0.342767,c0
1.237468,0.728372,c0
-0.361267,0.071258,c0
-0.360364,0.133443,c1
0.713452,-0.044934,c0
0.103079,0.226057,c0
0.055907,0.124892,c0
0.577137,-0.696141,c1
0.645622,1.152739,c1
-0.322069,0.062497,c0
0.98623,-0.117278,c1
0.989565,0.557463,c0
0.013204,0.265378,c1
1.093379,0.739176,c1
0.46971,0.390745,c0
-0.019283,0.295664,c0
-0.065357,1.085213,c1
-0.228828,0.596451,c1
1.267355,0.338241,c0
1.010128,0.565841,c0
0.011326,0.121408,c0
1.056088,0.559098,c0
0.216143,0.04558,c0
1.029595,0.728894,c0
-0.521752,-0.050201,c1
0.855402,0.499944,c1
0.041429,0.02702,c0
0.208446,0.311431,c0
-0.909684,-0.097462,c1
0.496634,1.812209,c1
0.020467,0.155369,c0
-0.031841,-0.174265,c0
1.08613,0.400433,c0
-0.182894,0.97307,c1
-0.331275,0.492284,c1
1.041705,1.656524,c1
0.317451,0.222715,c1
0.468731,0.78329,c1
0.359328,0.685084,c1
1.027472,0.56381,c0
0.715752,0.168301,c0
1.269547,0.75989,c0
-0.480435,0.51512,c1
0.905199,0.166742,c1
0.757687,0.362713,c0
-0.063994,0.153568,c1
-0.284104,0.531421,c0
0.02978,0.137496,c0
0.919323,0.354466,c1
1.008433,0.469012,c0
0.602324,-0.745369,c1
-0.059476,0.298803,c1
0.050178,-0.119496,c1
0.908383,0.522613,c0
0.095955,0.013633,c0
0.329284,0.642294,c1
1.125928,0.4779,c0
0.598762,1.207175,c1
-0.009096,0.781752,c1
0.428266,-0.140722,c1
0.07242,-0.070198,c0
0.172886,-0.278361,c1
0.172977,0.066591,c1
0.907441,0.539181,c0
-0.12203,0.225131,c1
0.080296,0.463585,c1
0.690812,0.829516,c0
0.241067,1.060447,c1
0.9746,0.540636,c0
0.535245,0.650582,c1
0.062384,0.273496,c0
-0.11554,-0.049089,c0
0.827127,0.25269,c0
0.348536,-0.094464,c0
-0.556313,0.436286,c0
0.672647,-0.134888,c1
1.56925,1.075862,c1
0.747246,0.427476,c1
0.363419,0.238144,c1
0.048281,-0.954162,c1
0.638673,0.788589,c0
0.519839,-0.002855,c0
0.628033,0.627048,c1
0.25954,0.001984,c1
0.471479,0.050045,c1
1.049197,0.254414,c0
0.057081,0.016934,c0
0.578119,0.283924,c0
0.147249,0.140663,c1
-0.734454,0.085578,c1
-0.273368,0.478784,c0
0.040564,0.051657,c1
0.272333,0.89672,c1
0.177093,1.054067,c1
1.048393,0.510334,c0
0.850231,-0.02039,c0
-0.369111,-0.047536,c0
-0.032879,0.259805,c0
0.278242,0.023171,c1
0.062512,0.52723,c1
-0.158961,0.223214,c0
-0.016036,0.348855,c1
-0.348109,0.721966,c0
0.320252,0.237274,c0
0.137829,0.017746,c0
1.163491,0.863807,c1
-0.16693,0.096981,c0
-0.015445,0.205363,c0
0.212615,0.18828,c1
0.03017,0.056264,c0
1.275359,0.615292,c0
0.895619,0.48584,c1
0.44338,-0.287751,c1
0.700232,0.530991,c0
1.00832,-0.877513,c1
-0.626378,1.196111,c1
0.096524,0.179879,c1
-0.597162,0.295875,c1
0.051841,1.035844,c1
0.749805,0.688665,c0
0.965279,0.478038,c0
0.545324,0.880645,c1
-0.623779,0.920351,c1
-0.113181,0.49141,c1
1.184455,0.638935,c0
0.003486,0.13139,c0
0.17754,0.138718,c1
0.940565,0.501057,c0
0.635575,0.803493,c1
0.141993,-0.18465,c0
-0.923573,1.700124,c1
-0.041761,-0.196359,c1
0.256114,0.475691,c1
0.99321,0.504619,c0
1.310827,0.342174,c1
0.35215,0.401676,c1
0.01553,0.407208,c0
0.365071,0.709668,c1
-0.054878,-0.008088,c0
-0.233976,0.369825,c0
1.524899,0.021844,c1
0.440654,1.561925,c1
0.942047,0.501114,c0
0.423393,0.00628,c1
0.063157,0.176999,c0
1.079577,0.738853,c1
0.797983,0.483522,c0
0.3785,0.416423,c1
-0.051655,-0.170647,c0
0.445279,0.87845,c1
0.214641,0.116748,c1
0.494107,0.125333,c1
0.015282,0.16084,c1
0.043325,0.140588,c0
0.085238,0.265769,c0
0.038853,0.247707,c1
0.889353,0.473399,c0
1.250622,0.355382,c0
0.195055,0.162984,c1
0.199334,0.165913,c1
0.484551,0.745248,c1
0.541912,0.541399,c1
-0.089278,0.293311,c0
0.901986,0.262127,c1
0.22159,0.120992,c1
1.108823,-0.096685,c1
0.900568,2.370132,c1
1.061167,0.483361,c0
0.387899,0.749615,c1
0.016966,0.22613,c0
0.928513,0.541184,c0
-0.374455,0.382296,c0
0.030395,0.445899,c0
0.123208,0.464171,c1
1.00889,1.276845,c1
0.011238,-0.4991,c0
1.21488,0.973506,c1
1.113542,1.006824,c1
0.898984,0.336802,c0
-0.158232,-0.00824,c0
0.201449,0.648126,c1
-0.029618,0.446762,c0
0.39983,0.362136,c1
0.016915,0.29264,c1
-1.301203,0.226111,c1
-0.171651,-0.011283,c0
0.910153,0.727235,c1
0.334483,0.7111,c1
0.918444,0.534755,c0
0.086077,-0.192391,c0
1.034542,0.459386,c0
0.151017,0.1993,c1
1.106389,0.481245,c0
0.794323,2.004615,c1
0.05927,-0.062654,c1
0.798336,0.438054,c0
-0.453211,0.315313,c1
0.246906,-0.041375,c1
0.296671,0.527738,c1
0.83964,0.598708,c0
0.212881,1.04481,c1
-0.015088,0.59642,c1
0.714261,0.409259,c1
0.237125,0.150862,c1
0.259258,0.195728,c1
-0.196585,-0.117276,c0
0.507106,0.198115,c1
1.186725,-0.399681,c1
-0.682953,-0.624595,c1
-0.193018,-1.124216,c1
0.455185,-0.531904,c1
1.232441,0.592561,c0
0.648524,-0.258717,c1
0.993577,0.537611,c0
0.00055,0.037598,c1
0.600197,0.147955,c0
-0.845767,-0.148381,c1
0.099796,-0.234563,c0
0.101725,0.235372,c0
1.05814,0.319665,c0
0.381671,0.722769,c1
0.571713,-0.495767,c1
0.44458,0.828125,c1
0.240116,0.258913,c0
0.56004,-0.248107,c1
-0.004069,1.530813,c1
0.923423,0.530083,c0
0.698174,1.592862,c1
0.336249,0.383375,c0
0.44371,-0.10255,c1
0.881922,0.272246,c0
1.350434,-0.003394,c1
0.042991,0.176417,c0
0.146818,0.1022,c0
1.00946,0.41524,c1
0.319318,-0.013693,c1
0.364152,0.712614,c1
0.924642,0.467964,c0
-0.081798,0.278809,c0
1.202396,0.832907,c1
-0.191338,-0.003505,c1
0.920789,-0.354804,c1
0.201991,-0.285549,c1
0.994735,0.58657,c0
-0.206343,-0.915035,c1
1.372962,0.440457,c1
0.718981,0.192767,c1
1.532828,-1.191247,c1
-0.0839,0.172627,c1
0.111639,1.105956,c1
-0.128985,0.515955,c1
-0.090849,-0.281836,c0
-0.208456,-0.140451,c0
0.229145,0.172065,c0
-0.185717,0.793037,c1
-0.613844,1.262624,c1
0.138008,0.317978,c0
0.289866,1.350232,c1
0.122758,0.079394,c1
0.069299,0.781799,c1
0.702258,-0.560304,c1
0.814196,0.631869,c1
-0.218349,1.130912,c1
-0.142028,0.395154,c0
-0.35668,0.785439,c1
0.432872,-0.124533,c1
-0.217068,0.174562,c0
0.408277,2.479582,c1
0.929507,0.516631,c0
0.043608,0.198834,c0
0.202915,0.630916,c1
0.146193,0.598916,c1
1.242021,0.347257,c0
0.425505,0.704013,c0
0.256582,0.984606,c1
-0.095566,-0.020055,c0
0.20891,0.090399,c1
0.900412,0.570753,c0
0.859244,0.555893,c0
-0.073571,1.104649,c1
0.881748,0.310514,c0
0.217838,-0.170593,c1
0.802449,0.892435,c1
1.015924,0.836295,c0
-0.037444,0.076654,c0
0.013109,0.182669,c0
0.459417,0.344673,c0
0.365098,-0.564798,c0
0.220248,0.104941,c1
0.882763,0.636421,c0
0.162001,0.051307,c0
0.695048,1.908295,c1
0.244198,-0.252983,c1
0.54139,1.18007,c1
0.823838,0.494443,c0
0.375224,0.995131,c1
-0.875915,-0.915327,c1
0.694924,0.988148,c1
0.175966,0.21738,c1
-0.020865,0.224941,c0
0.086249,0.141167,c1
0.5659,-1.61185,c1
0.989048,0.656806,c0
0.79861,0.62965,c0
-0.232737,0.335346,c0
0.017737,0.204506,c0
-0.245421,0.169517,c0
0.935009,0.5034,c0
0.995298,0.542573,c0
0.070701,0.594869,c1
1.176189,0.690656,c1
-0.098764,0.303792,c1
0.957821,0.507336,c0
2.136572,-1.270059,c1
0.356424,0.795115,c1
1.191856,1.07958,c1
0.84828,0.493631,c0
1.023597,-0.051331,c1
-0.221947,-0.206375,c0
0.705784,0.550317,c0
-0.334455,0.54393,c1
1.510516,-0.363874,c1
-0.910804,-0.404305,c1
-0.278575,0.111498,c1
0.052899,0.221899,c1
-0.145229,0.029353,c0
0.156959,0.323895,c0
0.238192,0.577417,c1
-0.440286,0.2423,c0
0.19075,-0.045359,c0
0.600321,0.909988,c0
0.966968,0.551062,c0
0.335837,0.448628,c1
0.092114,1.370395,c1
0.18562,0.148085,c1
0.583887,-0.754621,c1
1.19308,0.686325,c0
-0.09668,0.170814,c0
0.898546,0.557616,c0
0.975427,1.260815,c1
-0.037577,1.748485,c1
0.108949,-0.06494,c0
-0.055695,-0.217216,c0
1.418824,0.517046,c1
0.081233,-0.185912,c0
-0.017427,1.02283,c1
0.585371,-0.083303,c0
-0.273601,0.600317,c1
1.1493,0.682205,c1
0.306273,-0.453204,c1
0.09944,0.090679,c0
0.861356,-0.164207,c1
0.512818,-0.089306,c0
0.1445,0.329049,c0
-0.002673,0.130082,c0
0.701068,0.295589,c1
0.823711,0.795945,c0
0.853284,0.45663,c0
-0.416943,-0.574605,c1
0.795488,0.496029,c0
-0.427119,0.723012,c1
0.360845,0.754183,c1
0.338753,0.766628,c1
0.894329,0.585541,c0
0.934404,1.118848,c1
-0.885132,0.550253,c1
-0.310895,-0.378504,c1
-0.153643,-0.159546,c1
0.026654,-0.868298,c1
0.6849,0.2914,c1
1.095649,0.481833,c0
0.350861,0.650451,c1
0.401116,0.709874,c1
0.113333,0.082021,c1
1.042044,0.527177,c0
-0.083123,0.556392,c1
-0.533706,0.71021,c1
0.351512,0.045796,c0
-0.070594,0.043423,c0
-0.044647,0.102547,c0
-0.824469,0.226893,c1
-0.065042,0.217861,c1
0.255336,0.742981,c1
-0.310342,-0.034733,c1
1.302708,0.602307,c1
0.203448,0.260686,c1
0.790105,0.300118,c0
0.042605,0.107922,c1
-0.344287,-1.572288,c1
-0.053926,0.119731,c0
0.305834,0.846801,c1
0.257557,-0.087343,c1
0.552823,0.876418,c1
0.002734,0.144971,c0
0.220961,0.274891,c1
0.788477,-0.328504,c1
-0.03952,0.069537,c0
0.575046,0.194838,c1
0.179076,0.308453,c0
-0.064156,0.061125,c0
0.148428,-0.218623,c1
1.025213,0.43419,c0
0.155422,0.421916,c1
0.019746,0.104853,c0
0.192432,0.461112,c1
-0.060527,0.225586,c0
0.312748,0.384779,c1
0.356322,0.662885,c1
0.403464,0.528521,c1
0.062994,0.175575,c0
0.683316,0.595772,c1
0.766489,0.581449,c0
0.264511,0.11738,c1
1.028421,0.372695,c0
0.239853,-0.398575,c1
0.440437,0.767846,c1
1.037239,0.421967,c0
0.866491,-0.04331,c1
1.328028,0.313495,c1
0.935666,0.639714,c0
-0.608684,1.761807,c1
0.601805,-0.744891,c1
-0.524554,0.551468,c1
1.385401,0.910201,c0
0.837883,-0.074541,c1
0.314718,0.172975,c0
-0.160088,-0.385761,c1
-0.353325,0.198631,c0
0.161604,1.94911,c1
1.283053,0.348533,c1
0.713791,0.339041,c1
1.328345,0.595693,c1
-0.294563,0.573338,c1
0.386193,0.522554,c1
0.921592,0.056414,c1
-0.081941,0.169656,c0
0.751969,0.651023,c0
1.092249,0.524211,c0
-0.034068,0.212795,c0
1.10951,0.829534,c1
0.408314,0.707289,c1
1.395976,0.556484,c0
-0.070358,-0.038464,c0
0.060121,1.030409,c1
0.961611,0.531215,c0
-0.926037,-0.734055,c1
0.012618,0.106913,c0
0.523745,-0.176263,c1
0.175784,-0.092466,c1
-0.092074,-0.043184,c0
-0.517273,1.212637,c1
0.915957,0.544035,c0
0.700325,0.04371,c0
0.425639,1.1059,c1
-0.257808,0.603865,c1
1.253622,0.548077,c1
0.977315,0.480196,c0
0.239462,0.164003,c1
1.296262,1.581072,c1
-0.06742,0.15352,c0
0.803439,0.37886,c0
0.915297,1.717632,c1
0.130591,0.033229,c0
0.10907,0.249181,c1
0.042588,0.148314,c0
-0.148434,1.056834,c1
0.119055,0.559078,c0
0.516797,0.48961,c1
0.873851,0.394329,c0
0.057955,0.093572,c0
0.40214,0.087588,c1
-0.972144,0.061304,c1
0.930663,0.545006,c0
0.826267,0.514484,c0
0.791464,0.44347,c0
0.917485,0.426592,c0
0.768377,-0.092769,c0
-0.053435,-1.136186,c1
-0.850433,1.830835,c1
0.052212,0.250706,c0
0.02666,0.3301,c0
0.376878,0.732635,c1
0.264385,0.101725,c1
0.405513,1.131526,c1
0.208922,0.146852,c1
0.96904,0.55925,c0
-0.589851,1.812225,c1
0.880387,0.590533,c0
0.945633,0.539304,c0
0.943984,0.655776,c0
0.831207,0.733119,c0
0.022202,0.14287,c0
1.132482,-0.184963,c1
1.212467,0.576667,c0
0.289478,-1.165229,c0
0.269144,0.612857,c1
-0.382591,1.190554,c1
1.251222,0.065811,c1
0.536947,0.665605,c1
0.799657,0.466028,c0
-0.619265,-0.551237,c1
0.642617,0.673666,c1
0.324783,-0.262924,c0
2.141412,1.401622,c1
0.909784,0.50555,c0
-0.282979,0.072562,c1
0.640098,0.682066,c1
-0.939388,0.032286,c0
0.513939,0.024731,c1
0.593594,-0.343174,c1
-0.032649,0.135323,c0
0.373392,0.76918,c1
0.211016,0.180134,c1
-0.009397,-0.015441,c1
0.81608,0.334515,c0
0.126352,0.171873,c0
1.50333,0.087769,c1
0.103859,0.128426,c0
0.975937,1.208993,c1
-0.139496,0.990481,c1
0.191182,0.162997,c1
0.525141,0.954457,c1
-0.683705,0.556311,c1
0.484908,-0.205516,c1
0.856137,-0.222165,c1
0.115286,0.11037,c0
-0.505198,0.895659,c1
-0.641211,-0.639352,c1
0.393967,0.605868,c1
0.683627,0.069826,c0
0.912454,0.645603,c0
0.77703,0.253741,c0
1.020307,0.860848,c0
0.48827,0.466511,c1
0.071175,0.080876,c0
-0.08736,0.226506,c0
-0.105952,-0.830211,c1
-0.213598,0.2435,c0
0.433549,1.189779,c1
-0.267184,-0.334635,c0
0.074551,0.393701,c1
1.146257,-1.017433,c1
0.309201,0.620196,c1
-0.010907,0.094167,c0
0.819647,0.475558,c1
-0.111876,0.068574,c1
0.940492,0.507884,c0
1.00099,0.514135,c0
0.026358,0.223604,c0
-0.1762,0.034383,c0
0.281645,-1.13903,c1
0.07337,0.063281,c0
0.991481,0.549962,c0
-0.446285,0.486769,c1
0.827459,0.522261,c0
0.380877,0.191468,c0
0.231003,0.057161,c0
0.743565,-0.336542,c1
0.810105,0.826663,c1
0.941127,0.492832,c0
0.593565,0.729072,c1
1.013949,0.482732,c0
0.279929,-0.404317,c0
0.993707,0.855933,c1
0.78479,-0.789829,c1
0.430508,0.48694,c1
0.112407,-0.007204,c0
0.9186,0.54005,c0
0.045502,0.247388,c1
-0.36558,0.289324,c0
0.003211,0.133512,c0
0.133154,0.144567,c1
-1.31806,-0.385174,c1
0.812733,1.209573,c1
0.173233,0.007525,c0
0.917491,0.510318,c1
0.475316,0.108483,c1
1.14754,0.717478,c0
1.430959,0.225828,c1
1.077277,0.71966,c0
0.012623,0.146676,c0
0.373268,0.315717,c1
0.823111,1.188544,c1
0.274995,0.022522,c1
0.031452,0.381421,c1
0.392357,-0.109543,c1
-1.311642,0.273963,c1
0.289273,-0.09153,c1
0.175503,-0.025737,c0
2.064592,-0.35448,c1
0.530043,0.249117,c1
0.317355,0.34712,c0
0.88621,0.50029,c0
-0.018626,0.133964,c0
-0.152069,0.059685,c0
0.117866,0.706476,c1
1.010354,0.526925,c0
0.004849,0.126448,c0
-0.004439,0.203747,c0
0.85262,0.911637,c1
0.313672,-0.009503,c1
-0.131106,0.374033,c0
0.879974,0.607705,c0
0.773524,1.085672,c1
0.185576,0.117504,c0
0.029349,0.248487,c0
0.710562,0.744074,c1
0.529806,0.498406,c1
-0.532754,0.878929,c1
1.028684,1.158274,c1
0.242761,0.210728,c1
-0.291329,1.174337,c1
0.889225,0.561662,c0
0.684048,0.602745,c0
0.935635,0.514984,c0
0.233336,0.232822,c1
0.941513,0.64279,c0
0.285319,0.094623,c1
0.004582,0.452717,c0
-0.472099,0.334484,c0
0.034701,-0.35616,c0
0.871496,1.521512,c1
0.704298,-0.073995,c1
0.409644,0.744496,c1
0.088306,-0.098288,c0
1.070126,0.495913,c0
0.717289,-0.090849,c1
0.937925,0.367653,c0
0.290512,0.644789,c1
0.195469,0.103874,c0
0.12246,0.233357,c0
0.918712,0.430884,c0
0.842454,0.489725,c0
0.544895,0.647678,c1
-0.147868,0.544562,c1
0.074068,0.430607,c1
0.362529,0.005181,c1
0.9608,1.378813,c1
-0.339958,0.394765,c0
0.033009,0.154456,c0
0.114432,0.574476,c1
0.557138,0.836651,c1
-0.099831,0.388063,c0
1.147522,0.964385,c0
0.829261,-0.261947,c1
-0.122825,-0.010911,c0
-0.20266,0.431688,c0
-0.029197,-0.011103,c0
0.915205,1.456862,c1
0.726623,0.608926,c0
0.893381,0.352445,c0
0.154358,0.156329,c1
0.29,0.364195,c1
0.544855,-0.150511,c1
0.757173,0.479916,c1
0.44424,-0.555412,c1
